leaf_ID,site,species,group,Func_feed_group,damage_type,herbivory_index
1,4,B. asiatica,N,skeletonization,DT61,0.1
2,4,B. asiatica,N,hole feeding ,DT01,0.01
3,4,B. asiatica,N,NA,NA,0
4,4,B. asiatica,N,margin feeding,DT43,0.05
4,4,B. asiatica,N,mining,DT35,0.15
5,4,B. asiatica,N,margin feeding,DT13,0.07
5,4,B. asiatica,N,hole feeding,DT03,0.02
6,4,B. asiatica,N,NA,NA,0
7,4,B. asiatica,N,NA,NA,0
8,4,B. asiatica,N,hole feeding,DT01,0.01
9,4,B. asiatica,N,mining,DT36,0.15
9,4,B. asiatica,N,hole feeding,DT01,0.02
10,4,B. asiatica,N,hole feeding,DT01,0.005
11,4,B. asiatica,N,margin feeding,DT12,0.05
12,4,B. asiatica,N,hole feeding,DT01,0.02
12,4,B. asiatica,N,margin feeding,DT12,0.04
13,4,B. asiatica,N,hole feeding,DT01,0.03
14,4,B. asiatica,N,margin feeding,DT13,0.2
15,4,B. asiatica,N,skeletonization,DT61,0.25
16,4,B. asiatica,N,mining,DT37,0.1
17,4,B. asiatica,N,skeletonization,DT61,0.3
18,4,B. asiatica,N,skeletonization,DT24,0.2
18,4,B. asiatica,N,margin feeding,DT12,0.05
19,4,B. asiatica,N,NA,NA,0
20,4,B. asiatica,N,NA,NA,0
21,4,B. asiatica,N,surface feeding,DT30,0.15
22,4,B. asiatica,N,mining,DT35,0.35
23,4,B. asiatica,N,skeletonization,DT61,0.05
24,4,B. asiatica,N,margin feeding,DT13,0.1
25,4,B. asiatica,N,piercing and sucking,DT128,0.03
26,4,B. asiatica,N,mining,DT69,0.01
26,4,B. asiatica,N,margin feeding,DT12,0.05
27,4,B. asiatica,N,NA,NA,0
28,4,B. asiatica,N,hole feeding,DT01,0.005
29,4,B. asiatica,N,hole feeding,DT02,0.02
29,4,B. asiatica,N,hole feeding,DT01,0.005
30,4,B. asiatica,N,margin feeding,DT12,0.03
31,4,B. asiatica,N,mining,DT36,0.1
32,4,B. asiatica,N,NA,NA,0
33,4,B. asiatica,N,mining,DT36,0.08
34,4,B. asiatica,N,NA,NA,0
35,4,B. asiatica,N,mining,DT69,0.01
35,4,B. asiatica,N,margin feeding,DT15,0.01
35,4,B. asiatica,N,hole feeding,DT03,0.01
36,4,B. asiatica,N,mining,DT59,0.18
36,4,B. asiatica,N,margin feeding,DT119,0.03
36,4,B. asiatica,N,hole feeding,NA,0.02
37,4,B. asiatica,N,mining,DT43,0.08
37,4,B. asiatica,N,hole feeding,DT35,0.005
37,4,B. asiatica,N,margin feeding,DT13,0.04
37,4,B. asiatica,N,hole feeding,DT03,0.03
38,4,B. asiatica,N,hole feeding,NA,0.02
38,4,B. asiatica,N,margin feeding,NA,0.07
39,4,B. asiatica,N,hole feeding,DT01,0
40,4,B. asiatica,N,NA,DT36,0
41,4,B. asiatica,N,hole feeding,DT01,0.03
42,4,B. asiatica,N,hole feeding,DT01,0.02
42,4,B. asiatica,N,margin feeding,DT12,0.07
42,4,B. asiatica,N,hole feeding,DT01,0.04
43,4,B. asiatica,N,margin feeding,DT12,0
44,4,B. asiatica,N,hole feeding,DT01,0.3
45,4,B. asiatica,N,margin feeding,DT13,0
46,4,B. asiatica,N,mining,DT61,0.1
47,4,B. asiatica,N,mining,DT37,0.05
48,4,B. asiatica,N,margin feeding,DT61,0.05
49,4,B. asiatica,N,margin feeding,DT24,0.04
